"movieName","ratings","summeryElement"
"Hera Pheri","8.1/108.1/10","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
"Munna Bhai M.B.B.S.","8.1/108.1/10","A gangster sets out to fulfill his father's dream of becoming a doctor."
